graph,order,size,time,iterations,error,sum,technique
"min-1DeadEnd","5","6","0.002","17","0","0.999999940395","pagerankTeleport"
"min-1DeadEnd","5","6","0","4","0.82584","0.999999940395","pagerankLoop"
"min-1DeadEnd","5","6","0.002","20","0.61064","0.999999821186","pagerankLoopAll"
"min-1DeadEnd","5","6","0","0","2.0117e-7","0.999999880791","pagerankRemove"
"min-2SCC","8","12","0.006","40","0","1","pagerankTeleport"
"min-2SCC","8","12","0.005","40","0","1","pagerankLoop"
"min-2SCC","8","12","0.004","32","0.13044","0.999999940395","pagerankLoopAll"
"min-2SCC","8","12","0.005","40","0","1","pagerankRemove"
"min-4SCC","21","35","0.004","45","0","1","pagerankTeleport"
"min-4SCC","21","35","0.004","45","0","1","pagerankLoop"
"min-4SCC","21","35","0.004","42","0.12908","1","pagerankLoopAll"
"min-4SCC","21","35","0.004","45","0","1","pagerankRemove"
"min-NvgraphEx","6","10","0.003","24","0","1","pagerankTeleport"
"min-NvgraphEx","6","10","0.002","17","0.54568","1","pagerankLoop"
"min-NvgraphEx","6","10","0.002","19","0.5138","0.999999880791","pagerankLoopAll"
"min-NvgraphEx","6","10","0.002","25","0.074198","1","pagerankRemove"
"web-Stanford","281903","2312497","452.642","63","0","1.000168323517","pagerankTeleport"
"web-Stanford","281903","2312497","467.757","63","0.004764","1.000247001648","pagerankLoop"
"web-Stanford","281903","2312497","388.147","54","0.11641","1.000230431557","pagerankLoopAll"
"web-Stanford","281903","2312497","440.422","63","0.0026503","1.000099778175","pagerankRemove"
"web-BerkStan","685230","7600595","967.167","64","0","1.000226140022","pagerankTeleport"
"web-BerkStan","685230","7600595","1029.694","65","0.038283","1.00037419796","pagerankLoop"
"web-BerkStan","685230","7600595","896.637","55","0.12685","0.999724149704","pagerankLoopAll"
"web-BerkStan","685230","7600595","1038.447","65","0.021872","1.000081181526","pagerankRemove"
"web-Google","916428","5105039","1624.191","61","0","0.999770224094","pagerankTeleport"
"web-Google","916428","5105039","1627.142","62","0.59801","1.000001311302","pagerankLoop"
"web-Google","916428","5105039","1311.396","54","0.55541","0.999844372272","pagerankLoopAll"
"web-Google","916428","5105039","1287.928","66","0.18026","0.996846139431","pagerankRemove"
"web-NotreDame","325729","1497134","247.95","58","0","0.998999834061","pagerankTeleport"
"web-NotreDame","325729","1497134","215.141","54","0.88201","1.000510692596","pagerankLoop"
"web-NotreDame","325729","1497134","191.305","47","0.85365","1.000486016273","pagerankLoopAll"
"web-NotreDame","325729","1497134","156.046","67","0.32768","0.999618053436","pagerankRemove"
"soc-Slashdot0811","77360","905468","95.037","55","0","1.000014424324","pagerankTeleport"
"soc-Slashdot0811","77360","905468","97.937","56","0.0030527","1.000008821487","pagerankLoop"
"soc-Slashdot0811","77360","905468","98.25","56","0.0030707","1.000008821487","pagerankLoopAll"
"soc-Slashdot0811","77360","905468","96.389","55","0.00072268","0.999998033047","pagerankRemove"
"soc-Slashdot0902","82168","948464","104.077","56","0","0.999999880791","pagerankTeleport"
"soc-Slashdot0902","82168","948464","106.346","58","0.21351","0.999996602535","pagerankLoop"
"soc-Slashdot0902","82168","948464","105.815","58","0.21359","0.999995172024","pagerankLoopAll"
"soc-Slashdot0902","82168","948464","97.815","55","0.042743","1.000009775162","pagerankRemove"
"soc-Epinions1","75888","508837","83.735","54","0","0.999637544155","pagerankTeleport"
"soc-Epinions1","75888","508837","84.166","59","0.52695","0.999763906002","pagerankLoop"
"soc-Epinions1","75888","508837","82.397","57","0.5351","1.000247955322","pagerankLoopAll"
"soc-Epinions1","75888","508837","69.505","59","0.060524","0.999784827232","pagerankRemove"
"coAuthorsDBLP","299067","1955352","269.76","46","0","0.999995410442","pagerankTeleport"
"coAuthorsDBLP","299067","1955352","266.746","46","0","0.999995410442","pagerankLoop"
"coAuthorsDBLP","299067","1955352","272.261","45","0.11444","1.000014901161","pagerankLoopAll"
"coAuthorsDBLP","299067","1955352","265.608","46","0.0000046489","0.999999821186","pagerankRemove"
"coAuthorsCiteseer","227320","1628268","215.85","48","0","1.000007510185","pagerankTeleport"
"coAuthorsCiteseer","227320","1628268","221.213","48","0","1.000007510185","pagerankLoop"
"coAuthorsCiteseer","227320","1628268","233.642","47","0.10301","0.999981820583","pagerankLoopAll"
"coAuthorsCiteseer","227320","1628268","210.61","48","0.00000751","0.999998927116","pagerankRemove"
"soc-LiveJournal1","4847571","68993773","20572.471","60","0","1.007881164551","pagerankTeleport"
"soc-LiveJournal1","4847571","68993773","18326.816","59","0.36228","1.016863942146","pagerankLoop"
"soc-LiveJournal1","4847571","68993773","17075.664","58","0.38861","0.997381567955","pagerankLoopAll"
"soc-LiveJournal1","4847571","68993773","18011.873","52","0.047742","1.010224580765","pagerankRemove"
"coPapersCiteseer","434102","32073440","2466.525","51","0","1.000012874603","pagerankTeleport"
"coPapersCiteseer","434102","32073440","2450.646","51","0","1.000012874603","pagerankLoop"
"coPapersCiteseer","434102","32073440","2478.128","51","0.020145","0.999990463257","pagerankLoopAll"
"coPapersCiteseer","434102","32073440","2405.468","51","0.000012874","1.000002145767","pagerankRemove"
"coPapersDBLP","540486","30491458","2673.644","49","0","1.00000846386","pagerankTeleport"
"coPapersDBLP","540486","30491458","2628.058","49","0","1.00000846386","pagerankLoop"
"coPapersDBLP","540486","30491458","2601.788","49","0.023948","1.000018358231","pagerankLoopAll"
"coPapersDBLP","540486","30491458","2709.89","49","0.0000084637","1.000000476837","pagerankRemove"
"indochina-2004","7414866","194109311","20486.299","60","0","1.029923558235","pagerankTeleport"
"indochina-2004","7414866","194109311","21821.021","61","0.54355","0.968536138535","pagerankLoop"
"indochina-2004","7414866","194109311","19334.07","55","0.52897","0.974061250687","pagerankLoopAll"
"indochina-2004","7414866","194109311","20031.857","63","0.23505","1.003003120422","pagerankRemove"
"italy_osm","6686493","14027956","5004.708","63","0","1.014937639236","pagerankTeleport"
"italy_osm","6686493","14027956","6286.909","63","0","1.014937639236","pagerankLoop"
"italy_osm","6686493","14027956","5521.686","57","0.023341","1.02078795433","pagerankLoopAll"
"italy_osm","6686493","14027956","5117.848","63","0.01402","0.927223026752","pagerankRemove"
"great-britain_osm","7733822","16313034","8182.604","67","0","0.975216209888","pagerankTeleport"
"great-britain_osm","7733822","16313034","7145.877","67","0","0.975216209888","pagerankLoop"
"great-britain_osm","7733822","16313034","6659.168","57","0.048133","0.981972396374","pagerankLoopAll"
"great-britain_osm","7733822","16313034","7147.776","67","0.026315","0.989956974983","pagerankRemove"
"germany_osm","11548845","24738362","12411.927","67","0","0.936515212059","pagerankTeleport"
"germany_osm","11548845","24738362","15795.842","67","0","0.936515212059","pagerankLoop"
"germany_osm","11548845","24738362","12395.779","64","0.042309","0.923562526703","pagerankLoopAll"
"germany_osm","11548845","24738362","15293.125","67","0.070102","1.089038729668","pagerankRemove"
"asia_osm","11950757","25423206","9704.709","66","0","0.937275528908","pagerankTeleport"
"asia_osm","11950757","25423206","9039.885","66","0","0.937275528908","pagerankLoop"
"asia_osm","11950757","25423206","11295.432","63","0.027216","0.925250768661","pagerankLoopAll"
"asia_osm","11950757","25423206","8810.798","66","0.068637","0.980743765831","pagerankRemove"
