graph,order,size,batch_size,technique,time,iterations,error
"email-Eu-core-temporal","986","24928","10","pagerankTeleport (static)","0.5418","26.95","0"
"email-Eu-core-temporal","986","24928","10","pagerankTeleport (incremental)","0.09618000000000002","5.29","0.0000014962896"
"email-Eu-core-temporal","986","24928","10","pagerankTeleport (dynamic)","0.07715000000000001","4.69","0.6000010705649997"
"email-Eu-core-temporal","986","24928","10","pagerankLoop (static)","1.1313799999999998","56.12","0"
"email-Eu-core-temporal","986","24928","10","pagerankLoop (incremental)","0.12518999999999997","8","0.0000033114421000000004"
"email-Eu-core-temporal","986","24928","10","pagerankLoop (dynamic)","0.10696000000000001","7.4","0.6000028492380001"
"email-Eu-core-temporal","986","24928","10","pagerankLoopAll (static)","1.18685","56.37","0"
"email-Eu-core-temporal","986","24928","10","pagerankLoopAll (incremental)","0.13038999999999995","7.85","0.0000033021207"
"email-Eu-core-temporal","986","24928","10","pagerankLoopAll (dynamic)","0.11024000000000003","7.25","0.6000028456779999"
"email-Eu-core-temporal","986","24928","10","pagerankRemove (static)","0.4911300000000001","28.79","0"
"email-Eu-core-temporal","986","24928","10","pagerankRemove (incremental)","0.08481000000000001","5.66","0.0000014531149000000002"
"email-Eu-core-temporal","986","24928","10","pagerankRemove (dynamic)","0.07076000000000003","5.07","1.1524492111161004"
"email-Eu-core-temporal","986","24928","50","pagerankTeleport (static)","0.5471300000000001","26.95","0"
"email-Eu-core-temporal","986","24928","50","pagerankTeleport (incremental)","0.20777000000000012","10.72","0.0000022735887999999997"
"email-Eu-core-temporal","986","24928","50","pagerankTeleport (dynamic)","0.19628999999999988","10.56","0.1600021663999"
"email-Eu-core-temporal","986","24928","50","pagerankLoop (static)","1.1405600000000005","56.12","0"
"email-Eu-core-temporal","986","24928","50","pagerankLoop (incremental)","0.30696999999999997","17.66","0.000006354956199999998"
"email-Eu-core-temporal","986","24928","50","pagerankLoop (dynamic)","0.29267","17.52","0.160006213474"
"email-Eu-core-temporal","986","24928","50","pagerankLoopAll (static)","1.1925599999999996","56.37","0"
"email-Eu-core-temporal","986","24928","50","pagerankLoopAll (incremental)","0.32044000000000006","17.5","0.000006274085699999998"
"email-Eu-core-temporal","986","24928","50","pagerankLoopAll (dynamic)","0.30151999999999995","17.34","0.16000615248899996"
"email-Eu-core-temporal","986","24928","50","pagerankRemove (static)","0.49636","28.79","0"
"email-Eu-core-temporal","986","24928","50","pagerankRemove (incremental)","0.18947999999999998","11.74","0.0000023481777000000007"
"email-Eu-core-temporal","986","24928","50","pagerankRemove (dynamic)","0.18289999999999995","11.59","0.3033345600754"
"email-Eu-core-temporal","986","24928","100","pagerankTeleport (static)","0.54373","26.95","0"
"email-Eu-core-temporal","986","24928","100","pagerankTeleport (incremental)","0.25831000000000015","12.91","0.0000023929252000000004"
"email-Eu-core-temporal","986","24928","100","pagerankTeleport (dynamic)","0.24794","12.89","0.030002376989999996"
"email-Eu-core-temporal","986","24928","100","pagerankLoop (static)","1.1359000000000001","56.12","0"
"email-Eu-core-temporal","986","24928","100","pagerankLoop (incremental)","0.4191099999999999","23.22","0.0000072853323"
"email-Eu-core-temporal","986","24928","100","pagerankLoop (dynamic)","0.40283","23.19","0.030007263252"
"email-Eu-core-temporal","986","24928","100","pagerankLoopAll (static)","1.18881","56.37","0"
"email-Eu-core-temporal","986","24928","100","pagerankLoopAll (incremental)","0.4337100000000001","22.81","0.0000073317168999999995"
"email-Eu-core-temporal","986","24928","100","pagerankLoopAll (dynamic)","0.41331999999999985","22.79","0.030007300427000002"
"email-Eu-core-temporal","986","24928","100","pagerankRemove (static)","0.49389000000000016","28.79","0"
"email-Eu-core-temporal","986","24928","100","pagerankRemove (incremental)","0.23522000000000007","14.09","0.00000259956"
"email-Eu-core-temporal","986","24928","100","pagerankRemove (dynamic)","0.22838999999999998","14.08","0.056869285231900005"
"email-Eu-core-temporal","986","24928","500","pagerankTeleport (static)","0.5486900000000001","26.95","0"
"email-Eu-core-temporal","986","24928","500","pagerankTeleport (incremental)","0.32850999999999997","16.29","0.000002666340000000001"
"email-Eu-core-temporal","986","24928","500","pagerankTeleport (dynamic)","0.3185","16.31","0.0000026568937999999995"
"email-Eu-core-temporal","986","24928","500","pagerankLoop (static)","1.1430700000000003","56.12","0"
"email-Eu-core-temporal","986","24928","500","pagerankLoop (incremental)","0.63005","33.16","0.000007623636"
"email-Eu-core-temporal","986","24928","500","pagerankLoop (dynamic)","0.6033000000000001","33.16","0.000007625153000000003"
"email-Eu-core-temporal","986","24928","500","pagerankLoopAll (static)","1.1984500000000002","56.37","0"
"email-Eu-core-temporal","986","24928","500","pagerankLoopAll (incremental)","0.6496700000000001","32.67","0.000007672327000000002"
"email-Eu-core-temporal","986","24928","500","pagerankLoopAll (dynamic)","0.6176999999999999","32.66","0.000007676951000000002"
"email-Eu-core-temporal","986","24928","500","pagerankRemove (static)","0.49740000000000023","28.79","0"
"email-Eu-core-temporal","986","24928","500","pagerankRemove (incremental)","0.29933000000000015","17.89","0.0000026667377999999984"
"email-Eu-core-temporal","986","24928","500","pagerankRemove (dynamic)","0.2931999999999999","17.92","0.000030515783099999985"
"email-Eu-core-temporal","986","24928","1000","pagerankTeleport (static)","0.5455099999999997","26.95","0"
"email-Eu-core-temporal","986","24928","1000","pagerankTeleport (incremental)","0.3549","17.63","0.0000026006564999999997"
"email-Eu-core-temporal","986","24928","1000","pagerankTeleport (dynamic)","0.34338999999999986","17.63","0.000002618757000000001"
"email-Eu-core-temporal","986","24928","1000","pagerankLoop (static)","1.1351699999999998","56.12","0"
"email-Eu-core-temporal","986","24928","1000","pagerankLoop (incremental)","0.69197","36.29","0.000007677154999999997"
"email-Eu-core-temporal","986","24928","1000","pagerankLoop (dynamic)","0.66518","36.29","0.000007678436999999999"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (static)","1.1893500000000001","56.37","0"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (incremental)","0.71555","35.69","0.000007741466000000002"
"email-Eu-core-temporal","986","24928","1000","pagerankLoopAll (dynamic)","0.6805500000000001","35.69","0.000007742917"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (static)","0.49622","28.79","0"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (incremental)","0.32414000000000004","19.43","0.0000026517128100000005"
"email-Eu-core-temporal","986","24928","1000","pagerankRemove (dynamic)","0.31908000000000003","19.51","0.00004563901540000001"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (static)","0.5420447761194032","26.955223880597014","0"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (incremental)","0.40295522388059685","20.492537313432837","0.000002348270746268656"
"email-Eu-core-temporal","986","24929","5000","pagerankTeleport (dynamic)","0.38791044776119404","20.47761194029851","0.0000023606200791044773"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (static)","1.1284029850746269","56.134328358208954","0"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (incremental)","0.8301194029850749","43.28358208955224","0.000007638522388059702"
"email-Eu-core-temporal","986","24929","5000","pagerankLoop (dynamic)","0.793731343283582","43.26865671641791","0.000007649823880597016"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (static)","1.1825223880597018","56.40298507462686","0"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (incremental)","0.8596716417910448","42.74626865671642","0.000007672446268656718"
"email-Eu-core-temporal","986","24929","5000","pagerankLoopAll (dynamic)","0.8144626865671644","42.74626865671642","0.000007673446268656717"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (static)","0.48849253731343295","28.64179104477612","0"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (incremental)","0.3613134328358209","21.955223880597014","0.0000025676001194029847"
"email-Eu-core-temporal","986","24929","5000","pagerankRemove (dynamic)","0.3597761194029852","22.28358208955224","0.00006982548220895522"
"email-Eu-core-temporal","986","24929","10000","pagerankTeleport (static)","0.5469117647058825","26.88235294117647","0"
"email-Eu-core-temporal","986","24929","10000","pagerankTeleport (incremental)","0.4226176470588235","21.676470588235293","0.000002140437058823529"
